;country;region;area;pop_dens;literacy;phones_per1000;startup_score;forward_thinking_score;happiness_score;homicide_rate;co2_emissions;gdp_per_capita;population
0;Afghanistan;ASIA (EX. NEAR EAST)         ;647500.0;48.0;36.0;3.2;;;2.523;6.7;9900004.0;516.7;38928346.0
1;Albania;EASTERN EUROPE                     ;28748.0;124.6;86.5;71.2;;43.62;5.117;2.1;5208319.0;6494.4;2877797.0
2;Algeria;NORTHERN AFRICA                    ;2381740.0;13.8;70.0;78.1;;45.23;4.887;1.3;156220560.0;3765.0;43851044.0
3;American Samoa;OCEANIA                            ;199.0;290.4;97.0;259.5;;;;;;12844.9;55191.0
4;Andorra;WESTERN EUROPE                     ;468.0;152.1;100.0;497.2;;;;2.6;;43047.7;77265.0
5;Angola;SUB-SAHARAN AFRICA                 ;1246700.0;9.7;42.0;7.8;;42.45;;4.8;30566933.0;2137.9;32866272.0
6;Anguilla;LATIN AMER. & CARIB    ;102.0;132.1;95.0;460.0;;;;28.3;30262.0;;15003.0
7;Antigua & Barbuda;LATIN AMER. & CARIB    ;443.0;156.0;89.0;549.9;;;;;;;
8;Argentina;LATIN AMER. & CARIB    ;2766890.0;14.4;97.1;220.4;52.0;52.83;5.929;5.3;200708270.0;10729.2;45195774.0
9;Armenia;C.W. OF IND. STATES ;29800.0;99.9;98.6;195.7;;45.28;5.283;1.8;4597845.0;4670.0;2963243.0
10;Aruba;LATIN AMER. & CARIB    ;193.0;372.5;97.0;516.1;;;;1.9;286871.0;23384.3;106766.0
11;Australia;OCEANIA                            ;7686850.0;2.6;100.0;565.5;79.0;59.76;7.183;0.9;414988700.0;59934.1;25499884.0
12;Austria;WESTERN EUROPE                     ;83870.0;97.7;98.0;452.2;68.0;53.0;7.268;0.7;73764112.0;53267.9;9006398.0
13;Azerbaijan;C.W. OF IND. STATES ;86600.0;91.9;97.0;137.1;;46.54;5.171;2.3;33614235.0;5384.0;10139177.0
14;Bahamas, The;LATIN AMER. & CARIB    ;13940.0;21.8;95.6;460.6;;;;;;28239.4;
15;Bahrain;NEAR EAST                          ;665.0;1050.5;89.1;281.3;;51.61;6.647;0.5;24458384.0;22232.3;1701575.0
16;Bangladesh;ASIA (EX. NEAR EAST)         ;144000.0;1023.4;43.1;7.3;;45.42;5.025;2.4;74476230.0;2503.0;164689383.0
17;Barbados;LATIN AMER. & CARIB    ;431.0;649.5;97.4;481.9;;;;9.8;1541447.0;17033.9;287375.0
18;Belarus;C.W. OF IND. STATES ;207600.0;49.6;99.6;319.1;;46.67;5.534;2.4;62655669.0;7303.7;9449323.0
19;Belgium;WESTERN EUROPE                     ;30528.0;340.0;98.0;462.6;64.0;54.69;6.834;1.7;94722813.0;51767.8;11589623.0
